PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PGN_partial,Move_numbers,correct_moves,puzzle_solved,total_moves,accuracy_percentage,error,aggressive_move,positional_move,neutral_move,final_consensus_move,debate_history,single_model_response,single_model_move,single_model_prompt_tokens,single_model_completion_tokens,single_model_total_tokens,single_model_model,single_model_finish_reason,moderator_decision,judge_decision,debate_v2_history,aggressive_prompt_tokens,aggressive_completion_tokens,aggressive_total_tokens,aggressive_model,aggressive_finish_reason,aggressive_response,positional_prompt_tokens,positional_completion_tokens,positional_total_tokens,positional_model,positional_finish_reason,positional_response,neutral_prompt_tokens,neutral_completion_tokens,neutral_total_tokens,neutral_model,neutral_finish_reason,neutral_response,moderator_prompt_tokens,moderator_completion_tokens,moderator_total_tokens,moderator_model,moderator_finish_reason,moderator_response,judge_prompt_tokens,judge_completion_tokens,judge_total_tokens,judge_model,judge_finish_reason,judge_response,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,self_consistency_total_prompt_tokens,self_consistency_total_completion_tokens,self_consistency_total_tokens,debate_total_prompt_tokens,debate_total_completion_tokens,debate_total_tokens,single_model_total_prompt_tokens,single_model_total_completion_tokens,prompt_token_log,self_consistency_prompt_log,debate_prompt_log,single_model_prompt_log,planned_sequences,debate_rounds,early_consensus,single_model_fallback,both_models_failed,debate_success,final_reason,supported_side,board_fen,played_plies,current_turn,is_white_to_move,user_prompt,system_prompt
f9PQx,6k1/p5pp/n3qp2/1p6/1b1N1QN1/7P/PBp2PP1/5rK1 w - - 0 28,g1f1 e6e1,998,82,79,207,master mate mateIn1 middlegame oneMove,https://lichess.org/4H5RxpR6#55,,"[Event ""Hourly SuperBlitz Arena""]
[Site ""https://lichess.org/4H5RxpR6""]
[Date ""2023.03.03""]
[Round ""?""]
[White ""HaraldEtuna""]
[Black ""Ferchess83""]
[Result ""0-1""]
[GameId ""4H5RxpR6""]
[UTCDate ""2023.03.03""]
[UTCTime ""09:02:28""]
[WhiteElo ""2274""]
[BlackElo ""1998""]
[WhiteRatingDiff ""-10""]
[BlackRatingDiff ""+10""]
[WhiteTitle ""FM""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""C21""]
[Opening ""Danish Gambit Accepted: Schlechter Defense""]
[Termination ""Normal""]

1. e4 e5 2. d4 exd4 3. c3 dxc3 4. Bc4 cxb2 5. Bxb2 d5 6. Bxd5 Nf6 7. Nf3 Nxd5
8. exd5 Bb4+ 9. Nc3 O-O 10. O-O c6 11. Qd4 c5 12. Qf4 Na6 13. Rad1 Re8 14. Ne4
Qe7 15. Nd6 Rd8 16. Nc4 b5 17. Nce5 Rf8 18. d6 Qe6 19. d7 Bxd7 20. Nxd7 Rfd8
21. Nde5 c4 22. h3 c3 23. Bc1 c2 24. Rxd8+ Rxd8 25. Bb2 f6 26. Ng4 Rd1 27. Nd4
Rxf1+ 28. Kxf1 0-1",55,1,True,1.0,100.0,,,,,,,1. e4 e5 2. d4 exd4 3. c3 dxc3 4. Bc4 cxb2 5. Bxb2 d5 6. Bxd5 Nf6 7. Nf3 Nxd5 8. exd5 Bb4+ 9. Nc3 O-O 10. O-O c6 11. Qd4 c5 12. Qf4 Na6 13. Rad1 Re8 14. Ne4 Qe7 15. Nd6 Rd8 16. Nc4 b5 17. Nce5 Rf8 18. d6 Qe6 19. d7 Bxd7 20. Nxd7 Rfd8 21. Nde5 c4 22. h3 c3 23. Bc1 c2 24. Rxd8+ Rxd8 25. Bb2 f6 26. Ng4 Rd1 27. Nd4 Rxf1+ 28. Kxf1 Qe1# 29. Kxe1 c1=Q+ 30. Ke2 Qxb2+ 31. Ke3 Qxa2 32. f3 b4 33. Nf2 b3,Qe1#,342,272,614,gpt-4-turbo,stop,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,342,272,614,0.0,0,0,0,0,0,0,342,272,"[{""paradigm"": ""single_model"", ""agent"": ""single"", ""role"": ""move_prediction"", ""ply_index"": 55, ""turn_number"": 28, ""is_white_to_move"": false, ""prompt_tokens"": 342, ""completion_tokens"": 272, ""total_tokens"": 614, ""model"": ""gpt-4-turbo"", ""finish_reason"": ""stop"", ""puzzle_index"": 0}]",[],[],"[{""paradigm"": ""single_model"", ""agent"": ""single"", ""role"": ""move_prediction"", ""ply_index"": 55, ""turn_number"": 28, ""is_white_to_move"": false, ""prompt_tokens"": 342, ""completion_tokens"": 272, ""total_tokens"": 614, ""model"": ""gpt-4-turbo"", ""finish_reason"": ""stop"", ""puzzle_index"": 0}]","[{""paradigm"": ""single_model"", ""source_agent"": ""single"", ""moves_for_execution"": [""Kxe1"", ""c1=Q+"", ""Ke2"", ""Qxb2+""], ""full_moves"": [""Kxe1"", ""c1=Q+"", ""Ke2"", ""Qxb2+"", ""Ke3"", ""Qxa2"", ""f3"", ""b4"", ""Nf2"", ""b3""], ""status"": ""incomplete"", ""selected_move"": ""e6e1"", ""selected_san"": ""Qe1#""}]",0,False,False,False,False,,,,0,0,True,,
RmvPy,r2q1rk1/p1p2ppp/2pn4/3p4/5Pb1/1P1PP1R1/PBP3PP/RN1Q2K1 b - - 4 14,g4d1 g3g7 g8h8 g7f7 h8g8 f7g7,1756,76,89,281,advantage deflection discoveredAttack kingsideAttack long middlegame,https://lichess.org/pTdaGSQM/black#28,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation,"[Event ""rated blitz game""]
[Site ""https://lichess.org/pTdaGSQM""]
[Date ""2022.06.18""]
[Round ""?""]
[White ""foreverdrifting""]
[Black ""Dewa_Hihid_Awi""]
[Result ""1/2-1/2""]
[GameId ""pTdaGSQM""]
[UTCDate ""2022.06.18""]
[UTCTime ""04:06:16""]
[WhiteElo ""1841""]
[BlackElo ""1843""]
[WhiteRatingDiff ""+0""]
[BlackRatingDiff ""+0""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""A01""]
[Opening ""Nimzo-Larsen Attack: Modern Variation""]
[Termination ""Normal""]

1. b3 e5 2. Bb2 Nc6 3. e3 d5 4. Bb5 Bd6 5. Nf3 Nf6 6. O-O O-O 7. Bxc6 bxc6 8.
Nxe5 Bxe5 9. Bxe5 Ng4 10. Bb2 Nf6 11. f4 Ne4 12. d3 Nd6 13. Rf3 Bg4 14. Rg3
Bxd1 1/2-1/2",28,0,False,3.0,0.0,Mismatch: expected g3g7 but got b1c3,,,,,,1. b3 e5 2. Bb2 Nc6 3. e3 d5 4. Bb5 Bd6 5. Nf3 Nf6 6. O-O O-O 7. Bxc6 bxc6 8. Nxe5 Bxe5 9. Bxe5 Ng4 10. Bb2 Nf6 11. f4 Ne4 12. d3 Nd6 13. Rf3 Bg4 14. Rg3 Bxd1 15. Nc3 f6 16. Rxd1 Qe7 17. Ne2 Rae8 18. Nd4 Qd7 19. Nxc6 Qxc6,Nc3,229,154,383,gpt-4-turbo,stop,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,229,154,383,0.0,0,0,0,0,0,0,229,154,"[{""paradigm"": ""single_model"", ""agent"": ""single"", ""role"": ""move_prediction"", ""ply_index"": 28, ""turn_number"": 15, ""is_white_to_move"": true, ""prompt_tokens"": 229, ""completion_tokens"": 154, ""total_tokens"": 383, ""model"": ""gpt-4-turbo"", ""finish_reason"": ""stop"", ""puzzle_index"": 1}]",[],[],"[{""paradigm"": ""single_model"", ""agent"": ""single"", ""role"": ""move_prediction"", ""ply_index"": 28, ""turn_number"": 15, ""is_white_to_move"": true, ""prompt_tokens"": 229, ""completion_tokens"": 154, ""total_tokens"": 383, ""model"": ""gpt-4-turbo"", ""finish_reason"": ""stop"", ""puzzle_index"": 1}]",[],0,False,False,False,False,,,,0,0,True,,
uu1eQ,r5r1/1bb1k2p/p2qpp1B/1p6/2pPB3/2P5/PP2QRPP/4R1K1 w - - 4 22,e4b7 d6h2 g1f1 h2h1,986,81,83,217,fork mate mateIn2 middlegame short,https://lichess.org/LVvXY2XL#43,,"[Event ""rated blitz game""]
[Site ""https://lichess.org/LVvXY2XL""]
[Date ""2022.01.01""]
[Round ""?""]
[White ""KaomaGift""]
[Black ""Anands13""]
[Result ""0-1""]
[GameId ""LVvXY2XL""]
[UTCDate ""2022.01.01""]
[UTCTime ""04:55:21""]
[WhiteElo ""1964""]
[BlackElo ""1875""]
[WhiteRatingDiff ""-7""]
[BlackRatingDiff ""+8""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""D00""]
[Opening ""Queen's Pawn Game: Mason Attack""]
[Termination ""Normal""]

1. d4 d5 2. f4 e6 3. Nf3 c5 4. e3 Nc6 5. c3 Nf6 6. Bd3 Bd6 7. O-O Qc7 8. Nbd2
c4 9. Bc2 a6 10. Ne5 b5 11. e4 dxe4 12. Nxe4 Bb7 13. Nxf6+ gxf6 14. Nxc6 Qxc6
15. Qe2 Rg8 16. Rf2 Ke7 17. f5 Rg7 18. Bh6 Rgg8 19. fxe6 fxe6 20. Re1 Bc7 21.
Be4 Qd6 22. Bxb7 0-1",43,0,False,2.0,100.0,Mismatch: expected d6h2 but got a8b8,,,,,,1. d4 d5 2. f4 e6 3. Nf3 c5 4. e3 Nc6 5. c3 Nf6 6. Bd3 Bd6 7. O-O Qc7 8. Nbd2 c4 9. Bc2 a6 10. Ne5 b5 11. e4 dxe4 12. Nxe4 Bb7 13. Nxf6+ gxf6 14. Nxc6 Qxc6 15. Qe2 Rg8 16. Rf2 Ke7 17. f5 Rg7 18. Bh6 Rgg8 19. fxe6 fxe6 20. Re1 Bc7 21. Be4 Qd6 22. Bxb7 Rab8 23. Bf3 Rg6 24. Qe4 Rbg8 25. Qxh7+ R8g7 26. Qh3 f5 27. Qh4+ Kd7,Rab8,291,225,516,gpt-4-turbo,stop,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,291,225,516,0.0,0,0,0,0,0,0,291,225,"[{""paradigm"": ""single_model"", ""agent"": ""single"", ""role"": ""move_prediction"", ""ply_index"": 43, ""turn_number"": 22, ""is_white_to_move"": false, ""prompt_tokens"": 291, ""completion_tokens"": 225, ""total_tokens"": 516, ""model"": ""gpt-4-turbo"", ""finish_reason"": ""stop"", ""puzzle_index"": 2}]",[],[],"[{""paradigm"": ""single_model"", ""agent"": ""single"", ""role"": ""move_prediction"", ""ply_index"": 43, ""turn_number"": 22, ""is_white_to_move"": false, ""prompt_tokens"": 291, ""completion_tokens"": 225, ""total_tokens"": 516, ""model"": ""gpt-4-turbo"", ""finish_reason"": ""stop"", ""puzzle_index"": 2}]",[],0,False,False,False,False,,,,0,0,True,,
NZNGr,5rk1/pp3ppp/2brpn2/q3P3/4P3/1B5P/PP1NQ1P1/3R1R1K b - - 0 19,a5e5 d2c4 e5e4 e2e4,1374,75,94,3740,advantage fork middlegame short,https://lichess.org/vGIcuxb8/black#38,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/vGIcuxb8""]
[Date ""2022.07.22""]
[Round ""?""]
[White ""NOBXT""]
[Black ""capanegra1979""]
[Result ""0-1""]
[GameId ""vGIcuxb8""]
[UTCDate ""2022.07.22""]
[UTCTime ""21:51:34""]
[WhiteElo ""1990""]
[BlackElo ""2078""]
[WhiteRatingDiff ""-5""]
[BlackRatingDiff ""+9""]
[Variant ""Standard""]
[TimeControl ""900+10""]
[ECO ""B21""]
[Opening ""Sicilian Defense: Smith-Morra Gambit Accepted""]
[Termination ""Normal""]

1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 d6 5. Bc4 e6 6. Nf3 Nf6 7. Bf4 Nc6 8. h3
Be7 9. O-O O-O 10. Qe2 Bd7 11. Rad1 Qc7 12. Nb5 Qa5 13. Bxd6 Bxd6 14. Nxd6 Rab8
15. Bb3 Ne5 16. Nd2 Bc6 17. Kh1 Rbd8 18. f4 Rxd6 19. fxe5 Qxe5 0-1",38,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
PsA2z,8/5p2/4p1p1/1P4K1/5P2/6kp/8/3B4 w - - 0 43,b5b6 h3h2 d1f3 g3f3,1050,77,87,128,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/XbpdOGnT#85,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/XbpdOGnT""]
[Date ""2025.01.18""]
[Round ""?""]
[White ""jorgevic77""]
[Black ""Lekkerbekje""]
[Result ""1-0""]
[GameId ""XbpdOGnT""]
[UTCDate ""2025.01.18""]
[UTCTime ""22:34:26""]
[WhiteElo ""1892""]
[BlackElo ""1936""]
[WhiteRatingDiff ""+80""]
[BlackRatingDiff ""-6""]
[Variant ""Standard""]
[TimeControl ""600+0""]
[ECO ""B00""]
[Opening ""Pirc Defense""]
[Termination ""Normal""]

1. e4 d6 2. d4 g6 3. Nf3 Bg7 4. Bc4 e6 5. O-O Nf6 6. Re1 a6 7. b3 Nbd7 8. Bb2
b5 9. Bd3 O-O 10. Nbd2 c5 11. e5 dxe5 12. dxe5 Nd5 13. Bf1 Bb7 14. Qe2 Qb6 15.
Rad1 Rad8 16. Ne4 b4 17. Nd6 Nc3 18. Bxc3 bxc3 19. Nc4 Qc6 20. Rd6 Qc7 21. Red1
Bxf3 22. gxf3 Nxe5 23. Rxd8 Rxd8 24. Rxd8+ Qxd8 25. Nxe5 Bxe5 26. Qxe5 Qd2 27.
Qxc5 Qxc2 28. Qd4 Qd2 29. Qxd2 cxd2 30. Be2 Kg7 31. Bd1 Kf6 32. Kf1 Kg5 33. Ke2
Kh4 34. Kxd2 Kh3 35. Ke3 Kxh2 36. Kf4 Kg2 37. a4 h5 38. Kg5 Kxf2 39. b4 Kg3 40.
b5 axb5 41. axb5 h4 42. f4 h3 43. b6 1-0",85,0,False,2.0,50.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
4Un67,2r3kR/1p2r1p1/pn2p1B1/3pP3/3P2P1/q1P2P2/3Q4/2R1K3 b - - 2 24,g8h8 d2h2 h8g8 h2h7 g8f8 h7h8,1090,76,97,557,long mate mateIn3 middlegame,https://lichess.org/AFshn1Ai/black#48,,"[Event ""rated bullet game""]
[Site ""https://lichess.org/AFshn1Ai""]
[Date ""2024.04.03""]
[Round ""?""]
[White ""SoulShakinTex""]
[Black ""Fabio_bortolussi""]
[Result ""1-0""]
[GameId ""AFshn1Ai""]
[UTCDate ""2024.04.03""]
[UTCTime ""15:41:49""]
[WhiteElo ""2087""]
[BlackElo ""2018""]
[WhiteRatingDiff ""+5""]
[BlackRatingDiff ""-4""]
[Variant ""Standard""]
[TimeControl ""120+1""]
[ECO ""B12""]
[Opening ""Caro-Kann Defense: Advance Variation""]
[Termination ""Normal""]

1. e4 c6 2. d4 d5 3. e5 Bf5 4. c4 e6 5. Nc3 Bb4 6. Nf3 Ne7 7. a3 Bxc3+ 8. bxc3
O-O 9. Bg5 Nd7 10. cxd5 cxd5 11. Nh4 Be4 12. f3 Bg6 13. Nxg6 hxg6 14. h3 Rc8
15. Qd2 Re8 16. h4 Qa5 17. Rc1 Qxa3 18. h5 Nf5 19. hxg6 fxg6 20. Bd3 a6 21. g4
Ne7 22. Bxe7 Rxe7 23. Bxg6 Nb6 24. Rh8+ Kxh8 1-0",48,0,False,3.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
MgPSr,2k4r/1pp5/p2bp2r/P4p2/1PBP2p1/2P5/5PP1/R3RK2 w - - 6 26,c4e6 h6e6 e1e6 h8h1 f1e2 h1a1,1646,76,93,2804,clearance crushing endgame long sacrifice skewer,https://lichess.org/CDXGJ3Qr#51,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/CDXGJ3Qr""]
[Date ""2022.04.09""]
[Round ""?""]
[White ""Robocoop71""]
[Black ""PersaPoliss""]
[Result ""0-1""]
[GameId ""CDXGJ3Qr""]
[UTCDate ""2022.04.09""]
[UTCTime ""14:46:12""]
[WhiteElo ""1943""]
[BlackElo ""1945""]
[WhiteRatingDiff ""-5""]
[BlackRatingDiff ""+57""]
[Variant ""Standard""]
[TimeControl ""600+0""]
[ECO ""D00""]
[Opening ""Queen's Pawn Game: Chigorin Variation, Fianchetto Defense""]
[Termination ""Normal""]

1. Nc3 d5 2. d4 g6 3. Nf3 Bg7 4. e4 dxe4 5. Nxe4 e6 6. c3 Nf6 7. Bg5 Nbd7 8.
Ne5 h6 9. Bxf6 Nxf6 10. Qa4+ Bd7 11. Nxf6+ Bxf6 12. Nxd7 Qxd7 13. Qxd7+ Kxd7
14. Be2 Rad8 15. O-O Kc8 16. Bf3 h5 17. a4 g5 18. h3 Be7 19. a5 a6 20. b4 f5
21. Rfe1 g4 22. hxg4 hxg4 23. Be2 Rh6 24. Bc4 Rdh8 25. Kf1 Bd6 26. Bxe6+ 0-1",51,0,False,3.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
x0meF,r1bk3r/1p1pnQpp/p7/2K1N3/2B1P3/P2P3P/1Pq3P1/nN5R b - - 0 15,a1b3 c5d6 e7g6 e5g6 h8e8 h1f1 h7g6 f7g6 c2b2 g6g5 b2f6 f1f6,2586,99,80,38,crushing defensiveMove middlegame quietMove veryLong,https://lichess.org/Jiv1ANTv/black#30,Bishops_Opening Bishops_Opening_Other_variations,"[Event ""rated blitz game""]
[Site ""https://lichess.org/Jiv1ANTv""]
[Date ""2023.01.03""]
[Round ""?""]
[White ""issamhamdi""]
[Black ""BinderYellow""]
[Result ""1-0""]
[GameId ""Jiv1ANTv""]
[UTCDate ""2023.01.03""]
[UTCTime ""11:15:46""]
[WhiteElo ""1599""]
[BlackElo ""1575""]
[WhiteRatingDiff ""+6""]
[BlackRatingDiff ""-8""]
[Variant ""Standard""]
[TimeControl ""300+0""]
[ECO ""C23""]
[Opening ""Bishop's Opening""]
[Termination ""Normal""]

1. e4 e5 2. Bc4 Nc6 3. a3 a6 4. d3 Bc5 5. h3 Qh4 6. Qf3 Nd4 7. Qxf7+ Kd8 8. Nf3
Nxc2+ 9. Kd2 Qxf2+ 10. Kc3 Nxa1 11. Bg5+ Be7 12. Bxe7+ Nxe7 13. Nxe5 Qc2+ 14.
Kd4 c5+ 15. Kxc5 Nb3+ 1-0",30,0,False,6.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
Ahg8S,4r3/p1pp1p1k/4qP1p/3pQ1p1/3P2PP/6K1/PP6/4R3 b - - 0 28,h7g6 e5f5 e6f5 g4f5 g6f5 e1e8,1840,76,97,5781,advantage endgame long,https://lichess.org/VatN8uZs/black#56,,"[Event ""rated blitz game""]
[Site ""https://lichess.org/VatN8uZs""]
[Date ""2022.07.01""]
[Round ""?""]
[White ""anhnh60400""]
[Black ""Ibrahimwolf123456""]
[Result ""0-1""]
[GameId ""VatN8uZs""]
[UTCDate ""2022.07.01""]
[UTCTime ""10:18:07""]
[WhiteElo ""1660""]
[BlackElo ""1672""]
[WhiteRatingDiff ""-6""]
[BlackRatingDiff ""+6""]
[Variant ""Standard""]
[TimeControl ""300+0""]
[ECO ""C64""]
[Opening ""Ruy Lopez: Classical Variation, Central Variation""]
[Termination ""Normal""]

1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Bd2 Nxe4 8.
Bxc6 Bxd2+ 9. Nbxd2 Nxd2 10. Qxd2 bxc6 11. Qc3 O-O 12. O-O Qf6 13. Rfe1 Bb7 14.
Re3 Rfe8 15. Rae1 Rxe3 16. Qxe3 h6 17. Qe5 Qd6 18. Nh4 g6 19. f4 Ba6 20. f5 Bd3
21. g4 g5 22. Ng2 Bc4 23. Ne3 Bd5 24. Nxd5 cxd5 25. f6 Qe6 26. Kg2 Re8 27. Kg3
Kh7 28. h4 Kg6 0-1",56,0,False,3.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
k1hWM,8/1p2b3/p1pBk1p1/2P4p/1P1P1K1P/1P4P1/8/8 b - - 10 69,e7d6 c5d6 e6d6 f4g5,1169,76,88,1589,crushing endgame master short,https://lichess.org/2n0L94b0/black#138,,"[Event ""rated blitz game""]
[Site ""https://lichess.org/2n0L94b0""]
[Date ""2021.11.12""]
[Round ""?""]
[White ""Caio2519""]
[Black ""JuanS95""]
[Result ""1-0""]
[GameId ""2n0L94b0""]
[UTCDate ""2021.11.12""]
[UTCTime ""18:53:11""]
[WhiteElo ""2444""]
[BlackElo ""2409""]
[WhiteRatingDiff ""+5""]
[BlackRatingDiff ""-5""]
[WhiteTitle ""NM""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""D11""]
[Opening ""Slav Defense: Modern Line""]
[Termination ""Time forfeit""]

1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Qc2 Bg4 5. Nbd2 e6 6. g3 Be7 7. Bg2 Bf5 8. Qb3
Qb6 9. O-O Nbd7 10. c5 Qxb3 11. axb3 O-O 12. b4 a6 13. Nh4 Rfe8 14. Nxf5 exf5
15. Nb3 Ne4 16. e3 Bd8 17. f3 Nef6 18. Kf2 Bc7 19. Bh3 g6 20. Re1 Kg7 21. Bd2
Nf8 22. Bf1 h5 23. Bd3 Rab8 24. Bc3 Re7 25. Nd2 Rbe8 26. Re2 N8h7 27. Rae1 Ng5
28. h4 Ngh7 29. e4 fxe4 30. fxe4 Ng4+ 31. Kg2 Nhf6 32. e5 Nd7 33. Nf3 Nf8 34.
Bd2 Ne6 35. Ng5 Bd8 36. Nxe6+ Rxe6 37. Rf1 f6 38. exf6+ Bxf6 39. Rxe6 Rxe6 40.
Rf4 Ne3+ 41. Kf3 Ng4 42. Bc3 Bd8 43. Kg2 Ne3+ 44. Kg1 Bc7 45. Rf3 Ng4 46. Kg2
Nf6 47. Rf1 Ne4 48. Re1 Kf7 49. Bxe4 Rxe4 50. Rf1+ Kg7 51. Kf3 Re6 52. Rg1 Rf6+
53. Ke3 Re6+ 54. Kd3 Bd8 55. Bd2 Bf6 56. Bf4 Re4 57. Be3 Kf7 58. Rf1 Ke6 59.
Rf3 Rg4 60. b3 Re4 61. Bf2 Rg4 62. Re3+ Re4 63. Rxe4+ dxe4+ 64. Kxe4 Be7 65.
Be3 Bf6 66. Bf4 Bg7 67. Be5 Bf8 68. Kf4 Be7 69. Bd6 Bxd6+ 1-0",138,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
